Area,ethnic_2011,ethnic_2021,education_2011,education_2021,elderly_2011,elderly_2021,unemployed_2011,unemployed_2021,median_house_price_2011,median_house_price_2021,crime_2011,crime_2021,gentrification_score
E01004647,0.338,0.405,0.507,0.415,0.193,0.163,0.091581869,0.120138289,655000,3000000,0.066037736,0.073187896,0.340900656
E01004649,0.446,0.528,0.505,0.302,0.165,0.158,0.082532051,0.104148279,1385000,1280000,0.062033314,0.064449064,-1.072768336
E01004724,0.365,0.331,0.468,0.387,0.13,0.128,0.087179487,0.090963855,420000,610000,0.094264622,0.069430052,0.178914129
E01004730,0.395,0.457,0.463,0.307,0.195,0.197,0.095354523,0.12265625,752500,1645000,0.048677885,0.070020394,-0.333997138
E01004646,0.325,0.41,0.464,0.443,0.123,0.123,0.088709677,0.117773019,1050000,4000000,0.054545455,0.055424528,0.23600467
E01004648,0.316,0.346,0.432,0.31,0.124,0.102,0.075,0.09015112,499950,771000,0.058749475,0.055746141,-0.081074478
E01004650,0.293,0.366,0.38,0.274,0.123,0.144,0.068359375,0.074705111,950000,1305000,0.043151029,0.045010846,-0.545061353
E01004710,0.537,0.498,0.686,0.568,0.123,0.093,0.170344219,0.164047769,315000,730000,0.103699212,0.078265204,0.800022379
E01004711,0.444,0.511,0.634,0.558,0.103,0.088,0.13255814,0.180904523,352500,462000,0.04756447,0.040444894,-0.127096706
E01004651,0.416,0.428,0.36,0.275,0.132,0.146,0.065217391,0.073529412,473000,605000,0.022365805,0.032311978,-0.327880363
E01004725,0.56,0.596,0.601,0.387,0.189,0.111,0.148717949,0.148114901,435000,778750,0.068280571,0.109314858,0.534812446
E01004726,0.425,0.424,0.416,0.328,0.142,0.146,0.089781022,0.096460791,625000,900000,0.065446478,0.067330211,-0.05702444
E01004728,0.402,0.442,0.507,0.394,0.193,0.189,0.098827471,0.105303613,482500,737500,0.035279025,0.051351351,-0.071872748
E01004729,0.443,0.487,0.564,0.505,0.204,0.213,0.10851419,0.192513369,381500,622500,0.024420024,0.03384207,-0.298614753
E01004718,0.523,0.612,0.657,0.575,0.098,0.111,0.135548173,0.156838143,429250,580000,0.062213157,0.080769231,-0.280981707
E01004719,0.402,0.46,0.674,0.564,0.09,0.123,0.127246585,0.16166884,470000,760000,0.071953782,0.062979189,-0.420754453
E01004720,0.435,0.502,0.705,0.586,0.132,0.109,0.147862649,0.147487844,498500,860500,0.070676692,0.083879423,0.297698271
E01004721,0.517,0.596,0.758,0.639,0.132,0.146,0.180360721,0.198396794,277500,557500,0.102461075,0.12836767,-0.003336167
E01004722,0.717,0.76,0.765,0.645,0.067,0.079,0.22102883,0.218677762,352500,512500,0.068798057,0.064243759,-0.071577784
E01004674,0.568,0.605,0.716,0.568,0.127,0.121,0.187623436,0.170199501,320000,550000,0.087744397,0.103991597,0.248421787
E01004675,0.507,0.556,0.604,0.539,0.101,0.112,0.156818182,0.170608958,330000,485000,0.097155361,0.106471816,-0.068182508
E01004677,0.405,0.464,0.559,0.454,0.081,0.093,0.099867725,0.109289617,408750,595500,0.058402204,0.058064516,-0.260073266
E01004678,0.472,0.561,0.578,0.522,0.073,0.094,0.127107652,0.154398564,337500,602500,0.059589384,0.067805123,-0.226251452
E01004679,0.524,0.567,0.629,0.53,0.07,0.089,0.142056075,0.163507109,307500,492500,0.118556701,0.149542218,-0.231672105
E01004723,0.512,0.556,0.622,0.508,0.065,0.106,0.135458167,0.132517296,305000,647500,0.074293528,0.077648115,-0.139188708
E01004676,0.439,0.445,0.525,0.421,0.055,0.078,0.09636768,0.081521739,405000,724750,0.070455891,0.102068045,0.067911001
E01004706,0.25,0.273,0.277,0.219,0.078,0.094,0.038694992,0.0484375,645000,850000,0.060738885,0.057862491,-0.479261203
E01004707,0.269,0.292,0.325,0.217,0.075,0.08,0.060446009,0.030788967,707500,1070000,0.044147844,0.043016463,0.663058084
E01004708,0.354,0.39,0.483,0.35,0.084,0.104,0.087248322,0.111028316,440000,611500,0.084745763,0.05924018,-0.598337036
E01004756,0.394,0.436,0.492,0.39,0.045,0.072,0.110322228,0.103108415,420000,583500,0.065482797,0.088829071,-0.382699705
E01004701,0.319,0.323,0.354,0.249,0.114,0.13,0.06404321,0.091875475,595000,1075000,0.043370508,0.056957929,-0.413570593
E01004703,0.309,0.329,0.373,0.342,0.113,0.141,0.077142857,0.073538276,797500,1237500,0.083296991,0.09313971,0.05455684
E01004705,0.24,0.269,0.315,0.241,0.081,0.133,0.054077253,0.046755725,715000,1050000,0.055858311,0.062848051,-0.330199409
E01004709,0.413,0.469,0.509,0.479,0.093,0.112,0.107329843,0.133797909,517500,780000,0.102211596,0.088863243,-0.212959087
E01033600,0.233,0.445219575,0.354,0.537669242,0.095,0.125633398,0.08169464,0.102151742,968000,900000,0.085342529,0.079747003,-0.654709164
E01033608,0.242,0.445219575,0.382,0.537669242,0.056,0.125633398,0.08169464,0.102151742,517500,740000,0.085342529,0.079747003,-0.620766824
E01004659,0.373,0.405,0.381,0.289,0.101,0.115,0.050641026,0.059602649,531225,715000,0.080796901,0.077770974,-0.41241873
E01004660,0.412,0.415,0.387,0.301,0.123,0.146,0.069060773,0.06763285,745000,1100000,0.162674095,0.123500353,-0.10663731
E01004712,0.307,0.381,0.407,0.316,0.117,0.137,0.041553134,0.085171103,813750,1622500,0.213523132,0.210174029,-0.64184833
E01004727,0.467,0.517,0.375,0.315,0.109,0.133,0.065320665,0.091580502,625000,1300000,0.178413011,0.281653747,-0.235148828
E01004670,0.764,0.778,0.815,0.684,0.129,0.151,0.297358066,0.29896443,377500,500000,0.056217424,0.060294118,-0.115583785
E01004702,0.608,0.65,0.7,0.612,0.109,0.124,0.208333333,0.230145175,295000,1168750,0.139759969,0.091840339,0.323445333
E01033598,0.629,0.65,0.748,0.67,0.128,0.142,0.250281849,0.247404844,390000,860758,0.094551282,0.132321041,0.311222558
E01033601,0.586,0.701,0.732,0.675,0.142,0.124,0.17260274,0.194846009,490000,500000,0.078694818,0.06472332,-0.197492706
E01033602,0.588,0.67,0.786,0.653,0.099,0.129,0.239247312,0.241659886,310000,490000,0.088054187,0.070478723,-0.201257951
E01033603,0.47,0.5,0.584,0.441,0.072,0.084,0.148916968,0.138240575,404250,475000,0.098127341,0.134447096,-0.300942282
E01033604,0.593,0.615,0.696,0.593,0.06,0.09,0.159405941,0.199416342,195000,500000,0.196774194,0.255033557,-0.133436304
E01033605,0.572,0.636,0.733,0.619,0.138,0.123,0.214876033,0.241782323,295000,557500,0.088321884,0.120938628,0.19672318
E01004754,0.546,0.567,0.764,0.628,0.186,0.134,0.19868791,0.228226319,340000,500000,0.061452514,0.072053525,0.325036201
E01004755,0.576,0.646,0.592,0.492,0.054,0.078,0.182408075,0.192326372,355000,591820,0.103448276,0.070850202,-0.270718156
E01004757,0.538,0.565,0.698,0.581,0.09,0.098,0.206140351,0.177262528,497000,600000,0.101186758,0.086034178,0.003779379
E01032512,0.626,0.714,0.734,0.627,0.075,0.073,0.227376861,0.229700855,432500,500000,0.092930898,0.132075472,-0.141623425
E01032513,0.542,0.605,0.705,0.629,0.155,0.125,0.167206041,0.181726908,340000,500000,0.102886751,0.083059211,0.25513618
E01004713,0.2,0.227,0.326,0.25,0.12,0.148,0.03024453,0.040069686,825000,2100000,0.153212521,0.179801071,-0.250190787
E01004714,0.307,0.356,0.376,0.306,0.091,0.094,0.050429185,0.085406859,815000,1350000,1.069799907,0.910617876,-0.411558969
E01004716,0.256,0.302,0.364,0.294,0.163,0.189,0.042392567,0.071817193,650000,3243707,0.105189341,0.16491897,-0.138082892
E01004717,0.197,0.295,0.316,0.286,0.113,0.125,0.024886878,0.042132416,680000,1230000,0.253306878,0.223704867,-0.495261596
E01004762,0.349,0.462,0.502,0.455,0.156,0.182,0.079236553,0.119943222,973500,4000000,0.897001934,0.582013933,-0.073500413
E01004657,0.258,0.235,0.388,0.298,0.116,0.135,0.045418327,0.041742287,1025000,1232500,0.328609987,0.385052803,-0.088459694
E01004658,0.481,0.474,0.524,0.352,0.074,0.066,0.114457831,0.091039427,525000,1050000,0.661146497,0.330103359,0.404577349
E01004661,0.434,0.498,0.469,0.347,0.095,0.095,0.10215736,0.102259887,799950,1050000,0.193200216,0.190665343,-0.242958822
E01004662,0.321,0.316,0.366,0.224,0.073,0.115,0.0443769,0.055417701,727500,1180000,0.092217484,0.166414523,-0.799077382
E01004663,0.319,0.375,0.437,0.359,0.162,0.144,0.081756245,0.127071823,785000,1310000,0.120606061,0.100207326,-0.197454065
