Area,ethnic_2011,ethnic_2021,education_2011,education_2021,elderly_2011,elderly_2021,unemployed_2011,unemployed_2021,median_house_price_2011,median_house_price_2021
E01000001,0.155,0.199,0.224,0.167,0.183,0.252,0.0171990171990172,0.0272861356932153,505000.0,840000.0
E01000002,0.1129999999999999,0.2179999999999999,0.2079999999999999,0.1629999999999999,0.188,0.2009999999999999,0.0091973244147157,0.032258064516129,525000.0,817500.0
E01000003,0.2159999999999999,0.259,0.432,0.299,0.1889999999999999,0.176,0.0462794918330308,0.048,350000.0,540000.0
E01000005,0.486,0.615,0.655,0.597,0.129,0.095,0.1241914618369987,0.1578400830737279,300000.0,500000.0
E01032739,0.2209999999999999,0.322,0.264,0.229,0.037,0.04,0.0133882595262615,0.0627831715210356,447500.0,870000.0
E01032740,0.169,0.3009999999999999,0.2179999999999999,0.187,0.072,0.076,0.0220306513409961,0.0306656694091249,420000.0,812000.0
E01004647,0.3379999999999999,0.405,0.507,0.415,0.193,0.163,0.091581868640148,0.1201382886776145,655000.0,3000000.0
E01004649,0.446,0.528,0.505,0.302,0.165,0.158,0.0825320512820512,0.1041482789055604,1385000.0,1280000.0
E01004724,0.365,0.3309999999999999,0.4679999999999999,0.387,0.1299999999999999,0.128,0.0871794871794871,0.0909638554216867,420000.0,610000.0
E01004730,0.395,0.457,0.4629999999999999,0.307,0.195,0.197,0.0953545232273838,0.12265625,752500.0,1645000.0
E01004646,0.325,0.41,0.4639999999999999,0.4429999999999999,0.123,0.123,0.0887096774193548,0.1177730192719486,1050000.0,4000000.0
E01004648,0.3159999999999999,0.3459999999999999,0.432,0.31,0.1239999999999999,0.102,0.075,0.0901511203751954,499950.0,771000.0
E01004650,0.293,0.366,0.38,0.2740000000000001,0.1229999999999999,0.144,0.068359375,0.0747051114023591,950000.0,1305000.0
E01004710,0.537,0.498,0.6859999999999999,0.568,0.123,0.093,0.1703442188879082,0.1640477686989314,315000.0,730000.0
E01004711,0.444,0.511,0.634,0.5579999999999999,0.103,0.088,0.1325581395348837,0.1809045226130653,352500.0,462000.0
E01004651,0.416,0.428,0.36,0.275,0.132,0.146,0.0652173913043478,0.0735294117647058,473000.0,605000.0
