Area,ethnic_2011,ethnic_2021,education_2011,education_2021,elderly_2011,elderly_2021,unemployed_2011,unemployed_2021,median_house_price_2011,median_house_price_2021,crime_2011,crime_2021,gentrification_score
E01000006,0.673,0.672,0.671,0.65,0.078,0.086,0.130295763,0.128421053,240500,410000,0.055459272,0.051394204,0.586795032
E01000007,0.684,0.712,0.677,0.515,0.041,0.025,0.136363636,0.142857143,212000,330000,0.248412138,0.178458289,0.619001966
E01000008,0.686,0.75,0.758,0.681,0.026,0.036,0.188660802,0.161239079,140000,500000,0.102613129,0.128219805,2.137284952
E01000009,0.762,0.696,0.65,0.662,0.102,0.089,0.15177923,0.177556818,226500,244500,0.171301446,0.166016713,0.142160821
E01000010,0.714,0.445219575,0.551,0.537669242,0.03,0.125633398,0.08169464,0.102151742,151475,200000,0.085342529,0.079747003,-2.765589966
E01000011,0.788,0.717,0.704,0.678,0.055,0.077,0.1614205,0.16324981,214000,415000,0.064652568,0.066626651,0.581089467
E01000012,0.719,0.725,0.669,0.61,0.029,0.039,0.148791541,0.163291139,170000,310000,0.082861554,0.060865838,0.284716494
E01000013,0.314,0.401,0.831,0.723,0.131,0.09,0.100443131,0.123491838,161000,347000,0.168465228,0.142623843,0.831752427
E01000014,0.25,0.389,0.857,0.71,0.114,0.092,0.122105263,0.1301059,160000,310000,0.065386923,0.055618615,0.33743141
E01000015,0.335,0.437,0.822,0.68,0.067,0.068,0.132618888,0.119239631,150000,300000,0.073976222,0.06281198,0.608732625
E01000016,0.295,0.422,0.855,0.688,0.114,0.089,0.095535714,0.122857143,159995,327000,0.081409478,0.054975261,0.351300694
E01000017,0.306,0.487,0.803,0.702,0.103,0.096,0.108303249,0.139337952,167500,318500,0.063670412,0.064777328,-0.034381656
E01000018,0.284,0.376,0.831,0.69,0.107,0.082,0.093087558,0.11308204,162000,348500,0.070895522,0.063104036,0.676468465
E01000019,0.443,0.564,0.799,0.687,0.097,0.081,0.122680412,0.14212766,170000,328000,0.068794326,0.052343274,0.522527724
E01000020,0.35,0.571,0.794,0.711,0.121,0.103,0.109298532,0.156288917,155000,355000,0.098209441,0.038479157,0.273193382
E01000021,0.459,0.552,0.776,0.703,0.08,0.081,0.120070114,0.166126418,160000,358750,0.10768262,0.07241173,0.549422539
E01000022,0.365,0.523,0.816,0.68,0.09,0.096,0.10567297,0.120547945,165000,365000,0.078326996,0.051069703,0.405146927
E01000023,0.446,0.445219575,0.713,0.537669242,0.099,0.125633398,0.08169464,0.102151742,179995,317500,0.085342529,0.079747003,0.000348455
E01000024,0.441,0.543,0.821,0.699,0.089,0.083,0.112938596,0.146297948,169500,317500,0.058867362,0.037949401,0.265304278
E01000025,0.308,0.464,0.839,0.689,0.102,0.102,0.106233538,0.13121547,160500,327000,0.05842138,0.059217302,0.116944909
E01000027,0.283,0.41,0.857,0.745,0.136,0.088,0.105698529,0.145945946,182500,337500,0.083040936,0.079049467,0.242028988
E01000028,0.421,0.555,0.795,0.672,0.142,0.108,0.111557789,0.152479645,150000,300000,0.076625885,0.069654428,0.399607812
E01000029,0.361,0.547,0.793,0.682,0.277,0.203,0.071161049,0.113888889,231000,391500,0.064110622,0.05472103,-0.293695624
E01000030,0.343,0.539,0.826,0.666,0.106,0.068,0.121588089,0.139018692,176500,325000,0.144634526,0.090030912,0.291359357
E01000031,0.502,0.671,0.751,0.644,0.142,0.143,0.080380294,0.111190818,223750,410000,0.07668522,0.080690039,-0.037079524
E01000032,0.377,0.563,0.808,0.687,0.142,0.123,0.082108902,0.129664769,216000,437500,0.120048751,0.106705825,-0.063035794
E01000033,0.24,0.387,0.858,0.734,0.115,0.106,0.118607182,0.139013453,172000,355000,0.071010249,0.065891473,0.213143009
E01000034,0.235,0.364,0.852,0.712,0.191,0.168,0.079449153,0.136650869,172500,390000,0.068941504,0.069738481,-0.051945942
E01000035,0.329,0.474,0.791,0.695,0.139,0.133,0.087578195,0.132463967,180000,400000,0.140731556,0.113513514,0.19077061
E01000036,0.421,0.529,0.772,0.664,0.112,0.113,0.063265306,0.102852204,202500,378500,0.079025111,0.093444909,-0.161949594
E01000037,0.166,0.363,0.815,0.699,0.129,0.145,0.079006772,0.095577746,205000,438000,0.0622431,0.067894131,-0.526265104
E01000038,0.165,0.353,0.846,0.712,0.187,0.155,0.035259549,0.089216447,205000,435000,0.046431046,0.037990196,-1.534989722
E01000039,0.198,0.405,0.779,0.65,0.154,0.136,0.071678322,0.105882353,192500,366000,0.03992514,0.050251256,-0.670057595
E01000040,0.426,0.594,0.796,0.712,0.111,0.095,0.135036496,0.169744318,173000,352500,0.086763775,0.064122946,0.424797072
E01000041,0.331,0.418,0.829,0.686,0.087,0.093,0.104347826,0.111434814,160000,330000,0.044457617,0.045631608,0.490280649
E01000042,0.457,0.539,0.797,0.67,0.081,0.064,0.160639193,0.161775771,153500,345000,0.087631725,0.064412238,1.11157957
E01000043,0.474,0.573,0.808,0.669,0.131,0.109,0.117196057,0.152209493,225000,390000,0.078832117,0.054417414,0.2216223
E01000044,0.565,0.602,0.76,0.655,0.089,0.06,0.115722267,0.111405836,183000,395000,0.064569536,0.067209776,1.317967939
E01000045,0.409,0.499,0.781,0.692,0.084,0.09,0.104424779,0.123735409,139500,332000,0.140446052,0.141122036,0.78957055
E01000046,0.264,0.429,0.834,0.674,0.09,0.083,0.090909091,0.119587629,158000,338000,0.055462185,0.049766719,0.084707844
E01000048,0.629,0.445219575,0.805,0.537669242,0.04,0.125633398,0.08169464,0.102151742,129000,500000,0.085342529,0.079747003,0.444815534
E01000049,0.625,0.696,0.793,0.669,0.066,0.042,0.200539568,0.15,135000,500000,0.120087336,0.114492006,3.049389783
E01000050,0.615,0.625,0.737,0.624,0.115,0.086,0.144784173,0.127112417,188500,382000,0.097735399,0.0640956,1.231170512
E01000051,0.644,0.762,0.771,0.462,0.025,0.023,0.21485623,0.078580482,137000,500000,0.057583548,0.058661778,2.779891834
E01000052,0.535,0.592,0.754,0.665,0.099,0.083,0.105415162,0.14159812,149500,325000,0.088769004,0.054921842,0.767707575
E01000053,0.395,0.461,0.794,0.72,0.106,0.121,0.094266278,0.136099585,112000,300000,0.114534494,0.083636364,0.832996322
E01000054,0.288,0.413,0.834,0.682,0.116,0.109,0.09826087,0.102264427,159500,331500,0.051993068,0.051843934,0.481688595
E01000055,0.303,0.439,0.816,0.717,0.09,0.099,0.092406221,0.12788906,152000,327500,0.071611253,0.062425684,0.100449298
E01000056,0.324,0.41,0.835,0.715,0.101,0.11,0.113549618,0.185770751,155000,366250,0.11229611,0.129994037,0.228618154
E01000057,0.351,0.456,0.788,0.687,0.091,0.102,0.090172239,0.12858384,152500,307250,0.075747508,0.098600509,0.04057675
E01000058,0.401,0.529,0.786,0.682,0.083,0.073,0.092679128,0.138557994,168000,317500,0.053648069,0.065862709,0.063816255
E01000059,0.265,0.38,0.836,0.726,0.116,0.133,0.099047619,0.114791988,150998,335000,0.074003795,0.051192554,0.347521928
E01000060,0.341,0.518,0.813,0.678,0.135,0.095,0.099659284,0.121056021,158000,347000,0.148291069,0.12724758,0.59268671
E01000061,0.355,0.523,0.828,0.691,0.037,0.058,0.166377816,0.161243673,116500,248500,0.124441964,0.116580311,-0.042360392
E01000062,0.356,0.473,0.807,0.667,0.14,0.113,0.103156274,0.099463967,163000,336500,0.059877175,0.069631626,0.790933941
E01000063,0.263,0.426,0.853,0.7,0.118,0.095,0.099000908,0.111610487,163500,330000,0.064456722,0.054341737,0.286756762
E01000064,0.326,0.52,0.822,0.663,0.158,0.108,0.100638978,0.116628176,142500,310000,0.098049552,0.086147186,0.54449482
E01000065,0.287,0.435,0.828,0.717,0.173,0.134,0.089023336,0.138020833,158750,320000,0.077854671,0.055778894,0.041054783
E01000066,0.523,0.757,0.78,0.702,0.107,0.104,0.12244898,0.154848801,259748,430000,0.066975786,0.043513296,-0.128529227
E01000067,0.536,0.734,0.764,0.656,0.116,0.106,0.108321377,0.153341289,250000,475000,0.061460957,0.050727834,0.059828373
E01000068,0.654,0.738,0.735,0.623,0.105,0.107,0.12382579,0.15703603,260000,504000,0.092834891,0.06442577,0.370391283
E01000069,0.541,0.741,0.763,0.685,0.102,0.094,0.091902314,0.12424608,298000,530000,0.050084412,0.039234003,0.033104685
E01000070,0.58,0.753,0.743,0.627,0.142,0.12,0.097234612,0.145703611,250000,635000,0.105183694,0.125422094,0.742055137
E01000071,0.615,0.723,0.718,0.622,0.124,0.098,0.113940165,0.13537997,249995,490000,0.063820423,0.070134875,0.672234908
E01000072,0.336,0.507,0.837,0.693,0.111,0.082,0.120961683,0.144138373,172750,325000,0.086739781,0.094304388,0.270017516
E01000073,0.292,0.432,0.829,0.7,0.116,0.105,0.106145251,0.119764879,155000,330000,0.049443758,0.061521856,0.460487396
E01000074,0.28,0.437,0.833,0.702,0.103,0.09,0.090304183,0.121212121,152000,340000,0.041851617,0.056818182,0.302813754
E01000075,0.27,0.437,0.846,0.684,0.124,0.107,0.088870432,0.105706874,181500,450000,0.111047181,0.076372315,0.616978424
E01000076,0.357,0.429,0.839,0.719,0.091,0.087,0.13117284,0.168298654,151000,335500,0.054663992,0.046896552,0.638072527
E01000077,0.329,0.5,0.844,0.727,0.104,0.088,0.118331717,0.132455461,167250,350000,0.120523416,0.071803853,0.468782143
E01000078,0.309,0.477,0.844,0.719,0.099,0.077,0.131118881,0.136094675,155748,335000,0.076740036,0.07194617,0.643390364
E01000079,0.309,0.414,0.82,0.695,0.14,0.112,0.104288499,0.121188428,146000,335000,0.059884095,0.06562137,0.840225908
E01000080,0.308,0.442,0.842,0.693,0.113,0.068,0.119585687,0.111027757,158750,323750,0.077316294,0.071794872,0.897138779
E01000081,0.317,0.477,0.848,0.706,0.111,0.084,0.103154305,0.132138114,169000,330000,0.057714959,0.047328244,0.242746001
E01000082,0.29,0.426,0.848,0.705,0.096,0.09,0.09671848,0.125173853,155000,310000,0.095492289,0.090956887,0.130694182
E01000083,0.322,0.481,0.838,0.735,0.116,0.088,0.127272727,0.145021645,169000,347500,0.052260716,0.055440415,0.541436031
E01000084,0.296,0.396,0.826,0.719,0.098,0.103,0.107608696,0.129714811,151000,318000,0.106038292,0.121190645,0.382131497
E01000085,0.312,0.4,0.84,0.714,0.1,0.105,0.13080895,0.12934519,147750,335000,0.087209302,0.083638584,0.796482264
E01000086,0.338,0.416,0.811,0.712,0.101,0.107,0.095431472,0.114573786,160000,332000,0.071577484,0.0626703,0.462166304
E01000087,0.344,0.49,0.826,0.702,0.095,0.085,0.097664544,0.116925593,160000,385000,0.108308605,0.132110092,0.739757092
E01000088,0.47,0.587,0.781,0.656,0.134,0.118,0.121710526,0.150208623,159000,337000,0.080434783,0.075087021,0.595765929
E01000089,0.405,0.558,0.789,0.679,0.086,0.083,0.092738408,0.113192818,150000,315000,0.041169451,0.078125,0.397128666
