Area,crime_2011,crime_2021
E01000001,-1,-1
E01000002,-1,-1
E01000003,-1,-1
E01000005,-1,-1
E01000006,0.055459272,0.051394204
E01000007,0.248412138,0.178458289
E01000008,0.102613129,0.128219805
E01000009,0.171301446,0.166016713
E01000010,0.085342529,0.079747003
E01000011,0.064652568,0.066626651
E01000012,0.082861554,0.060865838
E01000013,0.168465228,0.142623843
E01000014,0.065386923,0.055618615
E01000015,0.073976222,0.06281198
E01000016,0.081409478,0.054975261
E01000017,0.063670412,0.064777328
E01000018,0.070895522,0.063104036
E01000019,0.068794326,0.052343274
E01000020,0.098209441,0.038479157
E01000021,0.10768262,0.07241173
E01000022,0.078326996,0.051069703
E01000023,0.085342529,0.079747003
E01000024,0.058867362,0.037949401
E01000025,0.05842138,0.059217302
E01000027,0.083040936,0.079049467
E01000028,0.076625885,0.069654428
E01000029,0.064110622,0.05472103
E01000030,0.144634526,0.090030912
E01000031,0.07668522,0.080690039
E01000032,0.120048751,0.106705825
E01000033,0.071010249,0.065891473
E01000034,0.068941504,0.069738481
E01000035,0.140731556,0.113513514
E01000036,0.079025111,0.093444909
E01000037,0.0622431,0.067894131
E01000038,0.046431046,0.037990196
E01000039,0.03992514,0.050251256
E01000040,0.086763775,0.064122946
E01000041,0.044457617,0.045631608
E01000042,0.087631725,0.064412238
E01000043,0.078832117,0.054417414
E01000044,0.064569536,0.067209776
E01000045,0.140446052,0.141122036
E01000046,0.055462185,0.049766719
E01000048,0.085342529,0.079747003
E01000049,0.120087336,0.114492006
E01000050,0.097735399,0.0640956
E01000051,0.057583548,0.058661778
E01000052,0.088769004,0.054921842
E01000053,0.114534494,0.083636364
E01000054,0.051993068,0.051843934
E01000055,0.071611253,0.062425684
E01000056,0.11229611,0.129994037
E01000057,0.075747508,0.098600509
E01000058,0.053648069,0.065862709
E01000059,0.074003795,0.051192554
E01000060,0.148291069,0.12724758
E01000061,0.124441964,0.116580311
E01000062,0.059877175,0.069631626
E01000063,0.064456722,0.054341737
E01000064,0.098049552,0.086147186
E01000065,0.077854671,0.055778894
E01000066,0.066975786,0.043513296
E01000067,0.061460957,0.050727834
E01000068,0.092834891,0.06442577
E01000069,0.050084412,0.039234003
E01000070,0.105183694,0.125422094
E01000071,0.063820423,0.070134875
E01000072,0.086739781,0.094304388
E01000073,0.049443758,0.061521856
E01000074,0.041851617,0.056818182
E01000075,0.111047181,0.076372315
E01000076,0.054663992,0.046896552
E01000077,0.120523416,0.071803853
E01000078,0.076740036,0.07194617
E01000079,0.059884095,0.06562137
