Area,2011
lsoa2011:E01000001 : City of London 001A,84.5
lsoa2011:E01000002 : City of London 001B,88.7
lsoa2011:E01000003 : City of London 001C,78.4
lsoa2011:E01000005 : City of London 001E,51.4
lsoa2011:E01032739 : City of London 001F,77.9
lsoa2011:E01032740 : City of London 001G,83.1
lsoa2011:E01004647 : Westminster 001A,66.2
lsoa2011:E01004649 : Westminster 001B,55.4
lsoa2011:E01004724 : Westminster 001C,63.5
lsoa2011:E01004730 : Westminster 001D,60.5
lsoa2011:E01004646 : Westminster 002A,67.5
lsoa2011:E01004648 : Westminster 002B,68.4
lsoa2011:E01004650 : Westminster 002C,70.7
lsoa2011:E01004710 : Westminster 002D,46.3
lsoa2011:E01004711 : Westminster 002E,55.6
lsoa2011:E01004651 : Westminster 003A,58.4
lsoa2011:E01004725 : Westminster 003B,44
lsoa2011:E01004726 : Westminster 003C,57.5
lsoa2011:E01004728 : Westminster 003D,59.8
lsoa2011:E01004729 : Westminster 003E,55.7
lsoa2011:E01004718 : Westminster 004A,47.7
lsoa2011:E01004719 : Westminster 004B,59.8
lsoa2011:E01004720 : Westminster 004C,56.5
lsoa2011:E01004721 : Westminster 004D,48.3
lsoa2011:E01004722 : Westminster 004E,28.3
lsoa2011:E01004674 : Westminster 005A,43.2
lsoa2011:E01004675 : Westminster 005B,49.3
lsoa2011:E01004677 : Westminster 005C,59.5
lsoa2011:E01004678 : Westminster 005D,52.8
lsoa2011:E01004679 : Westminster 005E,47.6
lsoa2011:E01004723 : Westminster 005F,48.8
lsoa2011:E01004676 : Westminster 006A,56.1
lsoa2011:E01004706 : Westminster 006B,75
lsoa2011:E01004707 : Westminster 006C,73.1
lsoa2011:E01004708 : Westminster 006D,64.6
lsoa2011:E01004756 : Westminster 006E,60.6
lsoa2011:E01004701 : Westminster 007A,68.1
lsoa2011:E01004703 : Westminster 007B,69.1
lsoa2011:E01004705 : Westminster 007D,76
lsoa2011:E01004709 : Westminster 007E,58.7
lsoa2011:E01033600 : Westminster 007F,76.7
lsoa2011:E01033608 : Westminster 007G,75.8
lsoa2011:E01004659 : Westminster 008A,62.7
lsoa2011:E01004660 : Westminster 008B,58.8
lsoa2011:E01004712 : Westminster 008C,69.3
