LSOA code,All usual residents aged 16-74 ,Never worked and long term unemployed
E01000001,1221,21
E01000002,1196,11
E01000003,1102,51
E01000005,773,96
E01032739,971,13
E01032740,1044,23
E01000006,1251,163
E01000007,1034,141
E01000008,1023,193
E01000009,1377,209
E01000011,1239,200
E01000012,1324,197
E01000013,1354,136
E01000014,950,116
E01000015,1493,198
E01000016,1120,107
E01000017,1108,120
E01000018,1085,101
E01000019,970,119
E01000020,1226,134
E01000021,1141,137
E01000022,899,95
E01000024,912,103
E01000025,1139,121
E01000027,1088,115
E01000028,995,111
E01000029,1068,76
E01000030,1209,147
E01000031,1157,93
E01000032,1157,95
E01000033,919,109
E01000034,944,75
E01000035,1119,98
E01000036,980,62
E01000037,1329,105
E01000038,1021,36
E01000039,1144,82
E01000040,1096,148
E01000041,1150,120
E01000042,1189,191
E01000043,913,107
E01000044,1253,145
E01000045,1130,118
E01000046,1188,108
E01000049,1112,223
E01000050,1112,161
E01000051,1252,269
E01000052,1385,146
E01000053,1029,97
E01000054,1150,113
E01000055,1093,101
E01000056,1048,119
E01000057,987,89
E01000058,1284,119
E01000059,1050,104
E01000060,1174,117
E01000061,1154,192
E01000062,1299,134
E01000063,1101,109
E01000064,1252,126
E01000065,1157,103
E01000066,1323,162
E01000067,1394,151
E01000068,1171,145
E01000069,1556,143
E01000070,1121,109
E01000071,1571,179
E01000072,1331,161
E01000073,1074,114
E01000074,1052,95
E01000075,1204,107
E01000076,1296,170
E01000077,1031,122
E01000078,1144,150
E01000079,1026,107
E01000080,1062,127
E01000081,1173,121
E01000082,1158,112
E01000083,1155,147
E01000084,920,99
E01000085,1162,152
E01000086,985,94
E01000087,942,92
E01000088,1216,148
E01000089,1143,106
E01000090,1068,106
E01000091,1069,148
E01000093,1048,154
E01000094,922,101
E01000095,1061,89
E01000096,1188,215
E01000097,1089,104
E01000098,1186,161
E01000099,1191,108
E01000100,1114,109
E01000101,1078,90
E01000102,1057,106
E01000103,1179,139
E01000104,1216,173
E01000105,1441,184
E01000106,1355,171
E01000107,1117,95
E01000108,1156,78
E01000110,1026,70
E01000111,1256,129
E01000112,1357,121
E01000113,1196,110
E01000114,1450,119
E01032580,961,116
E01033587,1140,155
E01034469,212,10
E01034470,978,96
E01034471,635,73
E01034472,190,9
E01034473,659,67
E01034474,1500,213
E01034475,1040,145
E01034476,407,69
E01034477,326,23
E01034478,0,0
E01034479,2157,411
E01000115,1066,45
E01000116,1228,45
E01000117,1314,68
E01000118,1390,98
E01000119,1241,78
E01000120,1081,45
E01000121,988,147
E01000122,1088,58
E01000123,1283,87
E01000124,1206,112
E01000126,1485,229
E01000127,1074,123
E01000128,1283,129
E01000129,1252,191
E01000130,1183,125
E01000131,1342,135
E01000132,1027,124
E01000133,1125,113
E01000134,1181,121
E01000135,1123,87
E01000136,1040,47
E01000137,1177,141
E01000138,1063,95
E01000139,1103,90
E01000140,1296,93
E01000141,1656,130
E01000142,1770,172
E01000143,1077,123
E01000144,1201,65
E01000145,992,90
E01000146,1352,92
E01000147,1335,117
E01000150,1532,130
E01000151,1127,187
E01000152,1116,149
E01000153,1107,140
E01000154,979,118
E01000156,1418,72
E01000157,1172,74
E01000158,1418,108
E01000159,1271,81
E01000160,1654,108
E01000161,1093,57
E01000162,1146,106
E01000163,1211,129
E01000164,1225,116
E01000165,1427,92
E01000166,1144,64
E01000167,977,72
E01000168,1140,62
E01000169,1121,53
E01000170,1172,75
E01000171,1379,102
E01000172,1185,57
E01000173,1256,49
E01000174,1265,87
E01000175,1138,60
E01000176,1187,122
E01000177,1287,48
E01000178,1267,59
E01000179,1294,41
E01000180,1188,64
E01000181,1319,51
E01000182,1320,34
E01000183,1025,45
E01000184,1005,100
E01000185,1092,149
E01000186,1080,45
E01000187,1084,74
E01000188,1127,39
E01000189,1248,208
E01000190,1083,72
E01000191,1056,55
E01000192,1292,85
E01000193,1235,71
E01000194,1230,115
E01000195,1276,158
E01000196,1423,95
E01000197,1428,81
E01000198,1313,72
E01000199,1114,48
E01000200,1292,72
E01000201,1103,87
E01000202,1265,46
E01000203,1227,116
E01000204,1311,68
E01000205,1064,30
E01000206,1069,68
E01000207,1107,44
E01000208,1141,54
E01000209,1064,32
E01000210,1071,43
E01000211,1568,101
E01000212,1334,55
E01000213,957,45
E01000214,1001,35
E01000215,1251,108
E01000216,1294,93
E01000217,1150,105
E01000218,1203,106
E01000219,1279,103
E01000220,1235,123
E01000221,878,125
E01000222,1128,142
E01000223,922,114
E01000224,1130,131
E01000225,980,79
E01000226,1212,137
E01000227,1285,65
E01000228,1011,47
E01000229,1191,117
E01000230,1206,70
E01000231,1294,75
E01000232,1304,110
E01000233,1312,65
E01000234,1239,84
E01000235,1192,123
E01000236,1213,89
E01000237,1554,77
E01000238,1319,101
E01000239,1572,124
E01000240,1254,102
E01000241,1339,85
E01000242,1075,68
E01000243,1443,82
E01000244,1332,70
E01000245,1460,128
E01000246,1093,52
E01000247,1293,55
E01000248,1183,46
E01000249,1099,37
E01000250,1634,79
E01000251,1422,96
E01000252,1180,60
E01000253,1183,68
E01000254,1082,33
E01000255,1081,95
E01000256,1306,71
E01000257,1252,158
E01000258,1192,35
E01000259,1871,119
E01000260,1445,114
E01000261,1069,31
E01000263,1064,28
E01000264,1228,106
E01000265,1392,98
E01000266,1124,39
E01000267,1152,50
E01000268,1265,93
E01000269,1034,45
E01000270,1089,46
E01000271,1033,44
E01000272,957,26
E01000273,1104,82
E01000274,1333,87
E01000275,1184,73
E01000276,1050,49
E01000277,1167,115
E01000278,1021,57
E01000279,1039,50
E01000280,1022,32
E01000281,835,67
E01000282,1218,68
E01000283,999,37
E01000284,1241,88
E01000285,1105,82
E01000286,1109,77
E01000287,1146,100
E01000288,1124,52
E01000289,1264,160
E01000290,1113,68
E01000291,1068,139
E01000292,1049,58
E01000293,1283,44
