LSOA code,All usual residents aged 16+,Never worked and long term unemployed
E01000001,1356,37
E01000002,1302,42
E01000003,1500,72
E01000005,963,152
E01000006,1425,183
E01000007,2170,310
E01000008,1259,203
E01000009,1408,250
E01000011,1317,215
E01000012,1580,258
E01000013,1409,174
E01000014,1322,172
E01000015,1736,207
E01000016,1400,172
E01000017,1299,181
E01000018,1353,153
E01000019,1175,167
E01000020,1606,251
E01000021,1234,205
E01000022,1095,132
E01000024,1121,164
E01000025,1448,190
E01000027,1480,216
E01000028,1351,206
E01000029,1440,164
E01000030,1712,238
E01000031,1394,155
E01000032,1581,205
E01000033,1115,155
E01000034,1266,173
E01000035,1457,193
E01000036,1157,119
E01000037,1402,134
E01000038,1289,115
E01000039,1360,144
E01000040,1408,239
E01000041,1373,153
E01000042,1329,215
E01000043,1222,186
E01000044,1508,168
E01000045,1285,159
E01000046,1455,174
E01000049,1360,204
E01000050,1361,173
E01000051,789,62
E01000052,1702,241
E01000053,1205,164
E01000054,1369,140
E01000055,1298,166
E01000056,1265,235
E01000057,1151,148
E01000058,1595,221
E01000059,1298,149
E01000060,1553,188
E01000061,1383,223
E01000062,1679,167
E01000063,1335,149
E01000064,1732,202
E01000065,1536,212
E01000066,1918,297
E01000067,1676,257
E01000068,1471,231
E01000069,1658,206
E01000070,1606,234
E01000071,1987,269
E01000072,1561,225
E01000073,1361,163
E01000074,1287,156
E01000075,1542,163
E01000076,1634,275
E01000077,1291,171
E01000078,1352,184
E01000079,1279,155
E01000080,1333,148
E01000081,1506,199
E01000082,1438,180
E01000083,1386,201
E01000084,1087,141
E01000085,1237,160
E01000086,1091,125
E01000087,1223,143
E01000088,1438,216
E01000089,1281,145
E01000090,1223,138
E01000091,1473,267
E01000093,1338,222
E01000094,1700,177
E01000095,1512,178
E01000096,1105,144
E01000097,1452,240
E01000098,1396,203
E01000099,2020,222
E01000100,1408,204
E01000101,1293,178
E01000102,1289,179
E01000103,1320,162
E01000104,1388,188
E01000105,1742,238
E01000106,1576,213
E01000107,1371,150
E01000108,1432,158
E01000110,1224,127
E01000111,1615,212
E01000112,1499,161
E01000113,1520,174
E01000114,1706,184
E01000115,1171,88
E01000116,1359,104
E01000117,1406,111
E01000118,1646,142
E01000119,1469,118
E01000120,1221,114
E01000121,1205,222
E01000122,1205,96
E01000123,1431,98
E01000124,1465,178
E01000126,1820,260
E01000127,1195,170
E01000128,1606,201
E01000129,1269,203
E01000130,1532,209
E01000131,1610,179
E01000132,1208,173
E01000133,1277,180
E01000134,1416,169
E01000135,1386,146
E01000136,1171,122
E01000137,1245,198
E01000138,1329,195
E01000139,1147,103
E01000140,1628,143
E01000141,1567,186
E01000142,1805,233
E01000143,1319,160
E01000144,1354,190
E01000145,1185,145
E01000146,1592,150
E01000147,1614,157
E01000150,1788,164
E01000151,1207,220
E01000152,1978,205
E01000153,1493,194
E01000154,1532,247
E01000156,1528,105
E01000157,1223,82
E01000158,1163,103
E01000159,1468,130
E01000160,1575,137
E01000161,1627,212
E01000162,1362,200
E01000163,1333,201
E01000164,1344,166
E01000165,1462,135
E01000166,1303,133
E01000167,1104,108
E01000168,1278,92
E01000169,1300,108
E01000170,1513,162
E01000171,1728,218
E01000172,1322,75
E01000173,1304,82
E01000174,1387,135
E01000175,1502,90
E01000176,1482,205
E01000177,1277,59
E01000178,1310,104
E01000179,1401,66
E01000180,1296,120
E01000181,1403,65
E01000182,1355,68
E01000183,1209,128
E01000184,1517,179
E01000185,1235,185
E01000186,1314,62
E01000187,1250,122
E01000188,1204,77
E01000189,1898,236
E01000190,1347,112
E01000191,1198,110
E01000192,1545,128
E01000193,1592,165
E01000194,1451,181
E01000195,1524,215
E01000196,1822,237
E01000197,1493,122
E01000198,1619,157
E01000199,1292,92
E01000200,1623,183
E01000201,1233,117
E01000202,1355,93
E01000203,1475,206
E01000204,1388,113
E01000205,1163,72
E01000206,1236,105
E01000207,1257,95
E01000208,1306,85
E01000209,1237,55
E01000210,1170,75
E01000211,1722,208
E01000212,1110,66
E01000213,1031,54
E01000214,1387,77
E01000215,1427,170
E01000216,1468,134
E01000217,1244,120
E01000218,1298,132
E01000219,1473,144
E01000220,1371,176
E01000221,1038,210
E01000222,1616,227
E01000223,1529,244
E01000224,1327,200
E01000225,1241,118
E01000226,1365,188
E01000227,1494,119
E01000228,1137,98
E01000229,1283,134
E01000230,1436,134
E01000231,1401,138
E01000232,1486,150
E01000233,1518,114
E01000234,1364,72
E01000235,1503,148
E01000236,1395,151
E01000237,1658,135
E01000238,1517,118
E01000239,1701,208
E01000240,1430,144
E01000241,1431,111
E01000242,1212,112
E01000243,1739,126
E01000244,1377,108
E01000245,1685,249
E01000246,1253,59
E01000247,1370,85
E01000248,1390,64
E01000249,1303,61
E01000250,2176,211
E01000251,1839,215
E01000252,1420,121
E01000253,1592,130
E01000254,1308,57
E01000255,1375,151
E01000256,1461,114
E01000257,1668,170
E01000258,1567,114
E01000259,2090,193
E01000260,1697,154
E01000261,1455,95
E01000263,1169,57
E01000264,1456,121
E01000265,1498,153
E01000266,1174,75
E01000267,1246,71
E01000268,1650,182
E01000269,1138,78
E01000270,1263,83
E01000271,1359,99
E01000272,1186,119
E01000273,1407,156
E01000274,1523,130
E01000275,1444,157
E01000276,1147,83
E01000277,1397,153
E01000278,1111,80
E01000279,1150,74
E01000280,1110,58
E01000281,1401,95
E01000282,1454,113
E01000283,1088,65
E01000284,1502,167
E01000285,1202,112
E01000286,1369,167
E01000287,1302,153
E01000288,1256,84
E01000289,1246,164
E01000290,1355,131
E01000291,1238,144
E01000292,1275,101
E01000293,1469,62
E01000294,1483,119
E01000295,1341,107
E01000296,1466,126
E01000297,1166,109
E01000298,1402,116
E01000299,1783,265
E01000300,1323,95
E01000301,1165,111
E01000302,1467,219
E01000303,1182,96
E01000304,1290,126
E01000305,1380,155
E01000306,1678,155
E01000307,1319,165
E01000308,1758,178
E01000309,1652,204
E01000310,1814,240
E01000311,1205,79
E01000312,1453,184
E01000313,1560,188
E01000314,1832,152
E01000315,1392,200
E01000316,1808,226
E01000317,1267,120
E01000318,1555,155
E01000319,1098,68
E01000320,1604,113
E01000321,1654,204
E01000322,1461,132
E01000323,2002,277
E01000324,1448,130
E01000325,1348,78
E01000326,1060,53
E01000327,1319,77
E01000328,1311,73
E01000329,1321,91
E01000330,1367,118
E01000331,1298,123
E01000332,1320,116
E01000333,1508,159
E01000334,1321,101
E01000335,2118,208
E01000336,1493,200
E01000337,1323,117
E01000338,1467,129
E01000339,1293,83
E01000340,1270,97
E01000341,1288,95
E01000342,1244,63
E01000343,1204,88
E01000344,1298,57
E01000345,1097,56
E01000346,1280,76
E01000347,1228,79
E01000348,1227,47
E01000349,1386,79
E01000350,1211,64
E01000351,1321,78
E01000352,1294,109
E01000353,1390,97
E01000354,1234,85
E01000355,1234,78
E01000356,1277,107
E01000357,1124,53
E01000358,1356,82
E01000359,1050,55
E01000360,1563,131
E01000361,1270,78
E01000362,1495,100
E01000363,1256,80
E01000364,1356,110
E01000365,1393,103
E01000366,1312,83
E01000367,1679,173
E01000368,1259,131
E01000369,1397,93
E01000370,1299,76
E01000371,1295,75
E01000372,1304,143
E01000373,906,60
E01000374,1167,131
E01000375,1647,110
E01000376,1282,68
E01000377,1216,77
E01000379,1370,99
E01000380,1479,119
E01000381,1273,156
E01000382,1282,65
E01000383,1298,97
E01000384,1395,82
E01000385,1483,163
E01000386,1235,191
E01000387,1285,75
E01000388,1234,86
E01000389,1387,99
E01000390,1071,68
E01000391,1372,93
E01000392,1495,119
E01000393,1338,87
E01000394,1332,97
E01000395,1253,91
E01000396,1160,81
E01000398,1291,134
E01000399,1291,100
E01000400,1291,109
E01000401,1458,195
E01000402,1250,125
E01000403,1828,193
E01000404,1693,203
E01000405,1173,133
E01000406,1599,142
E01000407,1511,112
E01000408,1342,142
E01000409,1372,74
E01000410,1290,75
E01000411,1220,81
