LSOA Code,2011_summary,2021_summary,Population_2021,Population_2011,crime_2011,crime_2021
E01000006,96,94,1829,1731,0.05545927209705372,0.05139420448332422
E01000007,352,507,2841,1417,0.24841213832039521,0.17845828933474128
E01000008,161,224,1747,1569,0.10261312938177183,0.12821980538065256
E01000009,308,298,1795,1798,0.17130144605116795,0.166016713091922
E01000011,107,111,1666,1655,0.06465256797583081,0.0666266506602641
E01000012,161,142,2333,1943,0.08286155429747813,0.06086583797685383
E01000013,281,262,1837,1668,0.1684652278177458,0.14262384322264562
E01000014,109,98,1762,1667,0.0653869226154769,0.05561861520998865
E01000015,168,151,2404,2271,0.07397622192866579,0.06281198003327787
E01000016,134,100,1819,1646,0.08140947752126367,0.05497526113249038
E01000017,102,112,1729,1602,0.06367041198501873,0.06477732793522267
E01000018,114,111,1759,1608,0.0708955223880597,0.06310403638430927
E01000019,97,86,1643,1410,0.06879432624113475,0.05234327449786975
E01000020,181,84,2183,1843,0.09820944112859468,0.03847915712322492
E01000021,171,121,1671,1588,0.10768261964735516,0.07241172950329144
E01000022,103,74,1449,1315,0.07832699619771863,0.05106970324361629
E01000024,79,57,1502,1342,0.05886736214605067,0.03794940079893475
E01000025,94,115,1942,1609,0.058421379738968306,0.0592173017507724
E01000027,142,163,2062,1710,0.08304093567251462,0.07904946653734239
E01000028,119,129,1852,1553,0.07662588538312942,0.06965442764578833
E01000029,102,102,1864,1591,0.06411062225015714,0.05472103004291846
E01000030,279,233,2588,1929,0.14463452566096424,0.09003091190108192
E01000031,124,145,1797,1617,0.0766852195423624,0.08069003895381191
E01000032,197,218,2043,1641,0.12004875076173065,0.10670582476749878
E01000033,97,102,1548,1366,0.07101024890190337,0.06589147286821706
E01000034,99,112,1606,1436,0.06894150417827298,0.06973848069738481
E01000035,227,210,1850,1613,0.1407315561066336,0.11351351351351352
E01000036,107,134,1434,1354,0.07902511078286559,0.09344490934449093
E01000037,106,118,1738,1703,0.062243100411039344,0.06789413118527042
E01000038,67,62,1632,1443,0.04643104643104643,0.03799019607843137
E01000039,64,90,1791,1603,0.039925140361821584,0.05025125628140704
E01000040,137,121,1887,1579,0.08676377454084863,0.06412294647588765
E01000041,75,82,1797,1687,0.04445761707172496,0.045631608235948806
E01000042,158,120,1863,1803,0.08763172490293955,0.0644122383252818
E01000043,108,85,1562,1370,0.07883211678832117,0.05441741357234315
E01000044,117,132,1964,1812,0.06456953642384106,0.06720977596741344
E01000045,233,244,1729,1659,0.1404460518384569,0.14112203585887798
E01000046,99,96,1929,1785,0.05546218487394958,0.049766718506998445
E01000049,220,222,1939,1832,0.12008733624454149,0.11449200618875709
E01000050,164,118,1841,1678,0.09773539928486293,0.06409560021727322
E01000051,112,64,1091,1945,0.05758354755784062,0.05866177818515124
E01000052,181,130,2367,2039,0.08876900441392839,0.05492184199408534
E01000053,171,138,1650,1493,0.1145344943067649,0.08363636363636363
E01000054,90,97,1871,1731,0.05199306759098787,0.0518439337252806
E01000055,112,105,1682,1564,0.07161125319693094,0.0624256837098692
E01000056,179,218,1677,1594,0.1122961104140527,0.12999403697078116
E01000057,114,155,1572,1505,0.07574750830564785,0.09860050890585242
E01000058,100,142,2156,1864,0.0536480686695279,0.06586270871985157
E01000059,117,88,1719,1581,0.07400379506641366,0.051192553810354854
E01000060,269,276,2169,1814,0.14829106945975745,0.1272475795297372
E01000061,223,225,1930,1792,0.12444196428571429,0.11658031088082901
E01000062,117,155,2226,1954,0.059877175025588536,0.06963162623539983
E01000063,105,97,1785,1629,0.06445672191528545,0.05434173669467787
E01000064,186,199,2310,1897,0.09804955192409066,0.08614718614718615
E01000065,135,111,1990,1734,0.07785467128027682,0.05577889447236181
E01000066,130,108,2482,1941,0.06697578567748583,0.043513295729250605
E01000067,122,115,2267,1985,0.061460957178841306,0.050727834142037936
E01000068,149,115,1785,1605,0.09283489096573208,0.06442577030812324
E01000069,89,84,2141,1777,0.05008441193021947,0.03923400280242877
E01000070,209,260,2073,1987,0.10518369401107197,0.12542209358417752
E01000071,145,182,2595,2272,0.06382042253521127,0.07013487475915221
E01000072,174,202,2142,2006,0.08673978065802593,0.09430438842203548
E01000073,80,114,1853,1618,0.049443757725587144,0.06152185644900162
E01000074,66,100,1760,1577,0.04185161699429296,0.056818181818181816
E01000075,193,160,2095,1738,0.11104718066743383,0.07637231503579953
E01000076,109,102,2175,1994,0.054663991975927785,0.04689655172413793
E01000077,175,123,1713,1452,0.12052341597796143,0.07180385288966724
E01000078,129,139,1932,1681,0.07674003569303986,0.07194616977225674
E01000079,93,113,1722,1553,0.05988409529942048,0.06562137049941928
E01000080,121,126,1755,1565,0.07731629392971245,0.07179487179487179
